"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","10","10","10","10","15","15","15","15","2","0","1","2","0","3","4","5","2","6","7","8","9","1424400.0"
"10","23","24","23","24","26","26","26","26","18","17","1","18","17","19","20","21","18","6","22","9","9","1386660.0"
"100","30","30","34","34","30","30","30","30","24","0","1","24","0","3","28","29","24","6","28","9","9","2391300.0"
"101","30","30","30","30","30","30","30","30","18","31","1","18","31","32","36","37","18","6","27","9","9","1036440.0"
"102","30","30","30","30","42","42","42","40","40","0","14","40","0","3","41","21","40","6","9","9","9","1244100.0"
"103","30","30","42","42","30","30","42","42","42","31","1","42","31","32","43","44","42","6","45","9","9","505500.0"
"104","34","34","34","34","51","46","51","46","46","0","1","46","0","3","47","5","46","6","47","9","9","10440.0"
"106","42","42","30","30","24","24","57","57","54","53","1","54","53","55","56","29","54","6","56","9","9","253380.0"
"108","18","18","34","40","40","34","34","34","40","0","1","40","0","3","60","61","40","6","45","8","9","850020.0"
"109","10","15","10","15","24","34","34","34","24","0","14","24","0","3","62","63","24","6","64","9","9","1727100.0"
"11","26","26","70","40","70","70","40","70","26","67","1","26","67","68","69","21","26","6","28","9","9","763380.0"
"110","18","18","34","2","2","34","34","34","18","71","1","18","71","72","73","29","18","6","74","9","9","2470320.0"
"111","10","10","10","10","15","15","51","51","10","76","1","10","76","12","77","5","10","6","69","9","9","1249920.0"
"112","70","70","23","23","26","26","40","23","40","0","14","40","0","3","81","29","40","6","9","75","9","1299240.0"
"114","18","18","24","83","83","24","18","18","24","0","1","24","0","3","82","29","24","6","50","9","9","201840.0"
"115","10","10","34","34","10","10","10","10","10","11","1","10","11","12","84","29","10","6","85","9","9","1696260.0"
"116","88","88","88","88","93","93","94","94","88","87","1","88","87","89","90","91","88","6","65","9","9","521880.0"
"119","26","26","26","26","26","26","70","70","26","67","1","26","67","68","97","98","26","6","33","9","9","381540.0"
"12","70","70","26","26","24","24","26","26","70","99","1","70","99","19","100","21","70","6","45","9","9","1830540.0"
"120","34","34","51","51","18","18","46","46","57","58","1","57","58","59","101","5","57","6","102","9","9","589140.0"
"121","34","34","34","104","104","34","51","46","46","25","14","46","25","3","86","103","46","6","35","9","9","1917960.0"
"122","51","51","51","51","51","51","51","2","2","0","14","2","0","3","86","103","2","6","9","9","9","1937400.0"
"123","51","51","10","10","10","10","15","15","15","11","1","15","11","12","105","5","15","6","80","9","9","278040.0"
"124","10","10","10","10","51","51","15","15","40","0","1","40","0","3","86","29","40","6","86","9","9","390720.0"
"125","18","18","15","15","24","15","15","24","51","71","1","51","71","72","107","29","51","6","101","9","9","2640.0"
"126","51","51","15","15","10","40","10","10","40","0","14","40","0","3","4","37","40","6","9","8","9","493200.0"
"127","18","18","18","18","15","15","34","34","24","0","1","24","0","3","109","29","24","6","9","9","9","1297320.0"
"129","30","40","40","30","30","30","42","42","40","0","1","40","0","3","75","111","40","6","75","9","9","1044660.0"
"13","23","23","23","23","26","26","94","94","24","25","1","24","25","3","82","21","24","6","82","9","9","17520.0"
"135","34","34","51","83","83","51","34","34","34","48","1","34","48","49","73","37","34","13","9","9","9","635460.0"
"138","15","15","10","10","10","10","15","15","51","48","1","51","48","49","97","5","51","6","101","9","9","81420.0"
"140","51","51","15","15","46","46","54","54","57","113","1","57","113","114","101","5","57","6","75","9","9","261360.0"
"145","30","30","42","42","30","30","30","30","24","25","1","24","25","3","115","116","24","6","115","9","9","1786440.0"
"147","30","30","42","42","42","42","30","94","94","95","14","94","95","95","118","119","94","6","120","9","9","46980.0"
"148","123","123","126","126","40","40","130","130","40","121","14","40","121","3","122","119","40","6","8","9","9","49080.0"
"153","88","88","88","88","40","40","40","40","94","95","1","94","95","95","131","37","94","6","102","9","9","3600.0"
"155","42","42","42","42","42","42","42","24","24","0","14","24","0","3","107","29","24","6","9","9","9","392460.0"
"156","70","70","70","70","70","70","70","70","70","17","1","70","17","19","133","134","70","6","9","9","9","1136880.0"
"163","136","136","40","40","40","40","40","40","23","117","1","23","117","132","135","91","23","39","9","9","9","5212200.0"
"17","30","30","30","30","30","30","30","137","30","117","14","30","117","132","69","91","30","6","9","9","9","2732640.0"
"174","34","34","18","40","18","18","40","18","83","71","1","83","71","72","78","29","83","6","102","9","9","927420.0"
"177","57","57","139","139","139","139","142","142","2","121","1","2","121","3","138","5","2","6","9","9","9","6286500.0"
"178","144","144","142","142","93","93","93","54","57","113","1","57","113","114","143","5","57","6","9","9","9","5064900.0"
"179","93","93","2","2","94","94","88","88","2","121","1","2","121","3","135","5","2","6","9","9","9","81600.0"
"18","10","10","10","10","51","51","10","10","10","48","1","10","48","49","150","5","10","6","105","9","9","6177600.0"
"182","24","24","88","88","24","24","24","24","94","95","1","94","95","95","151","29","94","6","101","9","9","1791240.0"
"185","26","26","88","88","94","94","94","94","40","121","1","40","121","3","27","5","40","6","101","9","9","7341000.0"
"187","54","54","139","139","142","142","144","144","139","145","1","139","145","146","152","5","139","6","92","9","9","4040280.0"
"188","57","54","54","54","57","54","57","57","24","0","1","24","0","3","153","154","24","6","36","9","9","1827900.0"
"189","2","2","2","2","2","2","2","2","2","121","1","2","121","3","16","156","2","6","8","9","9","54000.0"
"19","15","15","2","2","10","10","2","2","57","58","1","57","58","59","47","5","57","6","47","9","9","1909500.0"
"190","94","94","46","46","46","46","46","46","46","0","1","46","0","3","112","157","46","6","9","9","9","6720.0"
"192","123","123","40","40","26","26","40","26","40","0","14","40","0","3","152","119","40","6","9","9","9","1574640.0"
"194","26","26","26","40","26","40","26","40","40","0","14","40","0","3","97","158","40","6","9","9","9","2192940.0"
"195","40","40","54","54","57","57","57","54","57","113","14","57","113","114","105","159","57","6","97","9","9","854820.0"
"198","51","51","34","34","34","34","40","51","51","48","14","51","48","49","69","5","51","13","8","9","9","6071400.0"
"199","54","54","57","54","54","54","57","57","57","113","14","57","113","114","161","5","57","6","9","9","9","7498740.0"
"20","15","15","24","15","15","24","18","18","18","11","1","18","11","12","163","164","18","13","65","9","9","3206100.0"
"200","104","104","93","93","46","46","46","46","94","95","1","94","95","95","62","5","94","6","8","9","9","1300500.0"
"201","46","46","46","46","30","30","30","30","30","117","1","30","117","132","82","166","30","6","65","9","9","4015320.0"
"203","24","24","57","57","54","54","57","57","54","113","1","54","113","114","101","168","54","6","101","9","9","82440.0"
"206","24","24","57","57","57","57","93","93","93","87","1","93","87","89","169","170","93","6","4","9","9","1268880.0"
"207","51","34","51","34","51","34","51","34","34","71","1","34","71","72","171","172","34","6","35","9","9","1720800.0"
"208","70","70","23","23","70","70","70","70","26","67","1","26","67","68","52","5","26","13","65","9","9","3288000.0"
"209","18","18","42","42","42","42","51","51","18","71","1","18","71","72","173","29","18","6","105","9","9","708840.0"
"21","15","15","34","34","24","10","10","10","10","11","14","10","11","12","138","164","10","6","92","9","9","3413400.0"
"210","34","34","18","18","18","18","34","34","18","71","1","18","71","72","176","21","18","6","28","9","9","967920.0"
"211","24","24","142","142","144","144","54","54","57","113","1","57","113","114","177","21","57","6","178","9","9","481560.0"
"212","18","18","18","18","18","24","18","24","34","71","1","34","71","72","180","29","34","6","106","9","9","1117500.0"
"214","18","18","18","18","15","34","15","34","24","0","1","24","0","3","135","29","24","6","9","65","9","1447800.0"
"215","42","42","42","42","144","144","24","24","24","0","1","24","0","3","182","29","24","6","182","9","9","949380.0"
"218","184","184","188","188","188","188","184","184","40","121","1","40","121","3","183","172","40","6","9","9","9","357600.0"
"219","57","57","57","57","142","142","139","139","142","140","1","142","140","141","74","5","142","13","8","9","9","723120.0"
"22","70","70","23","23","23","23","23","23","70","17","1","70","17","19","101","29","70","13","8","9","9","469680.0"
"223","42","40","42","42","42","42","40","42","34","31","1","34","31","32","74","29","34","6","108","9","9","2060580.0"
"225","93","93","93","93","93","93","93","93","93","58","1","93","58","59","189","5","93","6","190","9","9","6916500.0"
"228","42","42","42","42","42","42","24","24","24","0","1","24","0","3","4","29","24","6","9","9","9","380700.0"
"229","42","40","40","42","34","34","42","42","40","25","1","40","25","3","41","29","40","6","41","9","9","572520.0"
"23","51","51","15","15","34","34","46","46","51","48","1","51","48","49","52","103","51","6","52","9","9","3111600.0"
"230","18","18","18","18","18","18","18","24","24","0","14","24","0","3","194","21","24","6","101","9","9","4502460.0"
"231","57","57","142","142","142","142","139","88","139","140","14","139","140","141","82","5","139","6","4","9","9","635520.0"
"232","46","51","46","93","51","93","88","88","88","195","1","88","195","149","101","5","88","13","9","9","9","597840.0"
"233","70","23","70","23","23","23","10","10","40","0","1","40","0","3","41","29","40","6","60","65","9","924180.0"
"234","40","40","40","40","126","126","200","200","126","197","1","126","197","198","118","199","126","6","9","9","9","4755960.0"
"235","2","2","2","26","2","26","26","26","26","67","1","26","67","68","52","201","26","13","9","9","9","2612400.0"
"236","88","88","88","88","24","93","24","93","88","87","1","88","87","89","82","21","88","6","112","9","9","205200.0"
"237","24","24","15","15","24","24","24","24","57","58","1","57","58","59","202","203","57","6","4","9","9","4851720.0"
"238","18","18","34","34","34","34","18","18","15","11","1","15","11","12","206","63","15","13","8","9","9","3864360.0"
"239","18","18","51","34","51","24","24","34","18","71","1","18","71","72","112","29","18","6","86","9","9","1223100.0"
"24","10","10","10","10","46","46","54","54","208","207","1","208","207","209","52","103","208","6","86","9","9","3142800.0"
"240","18","18","34","34","51","51","18","18","34","71","1","34","71","72","210","211","34","6","97","9","9","1101600.0"
"241","51","51","51","51","15","15","40","18","40","0","14","40","0","3","112","29","40","6","9","8","9","313380.0"
"242","18","18","18","18","15","15","34","34","18","71","1","18","71","72","97","21","18","6","8","9","9","671880.0"
"243","18","18","34","40","34","34","40","34","24","0","1","24","0","3","4","21","24","6","7","8","9","1036740.0"
"244","88","88","88","88","88","88","88","88","88","195","1","88","195","149","101","5","88","6","8","9","9","324180.0"
"245","23","23","23","2","2","23","23","23","23","17","1","23","17","19","101","5","23","6","102","9","9","2642100.0"
"246","70","70","23","23","70","70","40","40","54","58","1","54","58","59","162","212","54","6","66","9","9","400860.0"
"248","23","23","23","23","70","70","54","54","46","0","1","46","0","3","41","37","46","6","41","9","9","695640.0"
"249","42","42","42","42","40","40","42","42","42","31","1","42","31","32","213","29","42","6","214","9","9","597180.0"
"25","51","51","51","51","51","51","34","34","34","48","1","34","48","49","52","103","34","6","33","9","9","3041040.0"
"250","216","216","216","216","2","216","2","216","216","215","1","216","215","217","106","218","216","6","33","9","9","496800.0"
"251","51","51","10","10","10","10","2","2","57","58","1","57","58","59","101","5","57","6","101","9","9","3817500.0"
"252","18","18","18","24","18","24","24","24","18","71","1","18","71","72","86","29","18","6","4","9","9","323880.0"
"253","70","70","70","70","24","23","24","24","23","17","14","23","17","19","112","219","23","6","52","9","9","573240.0"
"254","57","57","57","57","57","57","54","54","24","121","1","24","121","3","220","21","24","6","9","9","9","154740.0"
"255","42","42","24","24","57","57","24","24","94","95","1","94","95","95","97","61","94","6","97","9","9","3600.0"
"256","42","42","10","10","18","18","40","40","42","117","1","42","117","32","69","222","42","13","9","9","9","3009600.0"
"257","18","18","10","10","51","51","83","83","34","48","1","34","48","49","135","5","34","6","221","9","9","6780960.0"
"258","18","18","18","18","34","34","34","34","34","71","1","34","71","72","62","29","34","13","65","9","9","1520340.0"
"259","70","70","70","70","26","26","18","18","70","67","1","70","67","68","224","134","70","6","102","9","9","6112200.0"
"26","15","15","18","18","18","18","10","10","10","11","1","10","11","12","52","103","10","6","86","9","9","3554760.0"
"260","34","34","34","34","34","34","18","18","34","71","1","34","71","72","225","29","34","6","85","9","9","4580100.0"
"261","42","42","42","42","24","24","30","30","24","0","1","24","0","3","118","211","24","6","118","9","9","586260.0"
"262","15","15","34","34","34","34","24","24","24","0","1","24","0","3","162","21","24","6","47","75","9","187440.0"
"263","30","30","30","30","30","40","30","30","40","0","14","40","0","3","28","226","40","6","9","9","9","1609200.0"
"264","83","83","83","34","83","34","18","18","24","0","1","24","0","3","227","211","24","6","9","9","9","192840.0"
"265","42","42","42","42","42","42","42","42","42","31","14","42","31","32","7","228","42","13","9","9","9","868320.0"
"266","2","2","51","51","10","10","51","2","51","48","14","51","48","49","229","5","51","6","162","9","9","7297080.0"
"267","15","15","18","18","18","18","15","24","24","0","14","24","0","3","153","154","24","6","9","9","9","7226160.0"
"268","42","42","42","24","42","24","42","24","24","0","14","24","0","3","115","231","24","6","9","9","9","1807140.0"
"269","42","42","42","40","42","42","40","42","42","31","1","42","31","32","86","29","42","6","101","9","9","1651380.0"
"27","42","42","42","42","42","42","42","42","42","31","1","42","31","32","86","29","42","13","9","9","9","441960.0"
"271","10","10","10","10","10","10","51","46","51","48","14","51","48","49","135","5","51","39","9","9","9","6625020.0"
"272","23","23","70","70","70","70","23","24","23","17","14","23","17","19","82","21","23","6","75","9","9","1392900.0"
"273","23","23","23","26","26","24","23","24","57","53","1","57","53","55","86","21","57","6","86","9","9","1492620.0"
"274","30","30","30","40","40","30","30","40","93","53","1","93","53","55","75","21","93","6","75","9","9","133800.0"
"277","216","216","46","46","88","88","88","88","88","87","1","88","87","89","75","5","88","6","9","9","9","327540.0"
"28","18","18","18","18","15","24","24","15","24","0","1","24","0","3","143","29","24","6","9","9","9","3347820.0"
"29","26","26","70","70","23","23","70","70","70","67","1","70","67","68","175","5","70","6","27","9","9","3476340.0"
"3","15","2","15","2","10","10","2","2","57","58","1","57","58","59","4","5","57","6","4","9","9","1529520.0"
"30","34","2","2","34","83","83","51","51","15","48","1","15","48","49","62","5","15","6","82","9","9","29100.0"
"31","10","10","10","10","10","10","34","34","2","0","1","2","0","3","74","5","2","6","85","8","9","2706180.0"
"32","18","18","51","51","34","34","51","51","15","48","1","15","48","49","151","37","15","13","8","9","9","2449200.0"
"33","18","18","24","18","24","18","18","18","15","71","1","15","71","72","74","29","15","6","82","9","9","1954260.0"
"34","26","26","23","23","23","23","10","10","26","67","1","26","67","68","82","37","26","6","65","9","9","1965480.0"
"35","51","51","18","18","34","51","34","51","2","0","1","2","0","3","60","5","2","6","45","8","9","2329200.0"
"36","34","34","51","51","10","10","10","10","46","0","1","46","0","3","82","5","46","6","9","9","9","1486500.0"
"37","42","70","70","42","42","42","18","18","233","31","1","233","31","32","162","29","233","6","187","9","9","1879200.0"
"38","15","15","51","51","10","10","10","10","10","11","1","10","11","12","174","5","10","13","9","9","9","4798440.0"
"39","70","70","70","40","40","70","70","40","70","67","14","70","67","68","4","21","70","6","16","9","9","439020.0"
"4","10","10","34","46","34","34","46","34","51","48","1","51","48","49","60","5","51","6","7","9","9","73440.0"
"40","23","23","70","70","23","23","23","23","23","99","1","23","99","19","162","21","23","39","9","9","9","1189440.0"
"41","23","23","23","24","23","23","24","23","70","17","1","70","17","19","82","21","70","6","4","9","9","1621680.0"
"42","18","18","18","18","24","24","15","15","30","71","1","30","71","72","69","21","30","6","102","9","9","456960.0"
"43","30","30","42","24","42","24","42","42","30","31","1","30","31","32","160","29","30","6","28","9","9","376380.0"
"44","26","26","70","70","70","70","26","26","26","235","1","26","235","68","236","237","26","6","60","9","9","2114880.0"
"45","18","18","34","34","34","34","24","24","42","238","1","42","238","32","60","21","42","6","9","9","9","150420.0"
"46","51","51","34","34","51","18","51","18","18","71","1","18","71","72","4","29","18","6","7","9","9","181140.0"
"47","30","30","30","24","30","30","24","30","30","31","1","30","31","32","4","29","30","13","9","9","9","1389600.0"
"48","15","15","10","10","10","10","40","40","15","11","1","15","11","12","74","5","15","6","101","9","9","3127320.0"
"49","42","2","42","2","42","42","104","104","24","0","1","24","0","3","33","29","24","6","108","9","9","1032420.0"
"50","42","42","42","42","42","42","42","42","24","0","1","24","0","3","7","29","24","6","7","9","9","1215300.0"
"52","42","42","30","30","30","30","30","30","30","31","1","30","31","32","221","29","30","13","8","9","9","583680.0"
"53","42","42","30","30","30","30","30","30","30","31","1","30","31","32","4","239","30","6","7","9","9","878760.0"
"54","51","51","15","15","10","10","10","40","40","0","14","40","0","3","41","29","40","13","9","9","9","244320.0"
"55","26","26","70","70","70","70","40","23","40","0","14","40","0","3","240","211","40","6","9","9","9","3260700.0"
"56","30","30","42","94","94","42","42","42","24","25","1","24","25","3","41","21","24","6","41","9","9","18420.0"
"58","88","88","88","88","93","93","88","88","24","121","1","24","121","3","85","44","24","6","85","9","9","65400.0"
"59","18","18","51","51","34","34","24","24","83","58","1","83","58","59","4","29","83","6","33","9","9","168120.0"
"6","42","42","42","42","30","30","30","30","42","31","1","42","31","32","241","211","42","13","9","9","9","1658880.0"
"60","30","30","57","57","42","42","40","30","40","25","14","40","25","3","60","242","40","13","9","9","9","234000.0"
"61","23","23","23","23","23","23","10","10","23","17","1","23","17","19","97","158","23","6","7","9","9","3570360.0"
"62","30","30","30","30","30","30","30","30","30","31","1","30","31","32","7","29","30","6","16","9","9","2402820.0"
"63","34","34","34","34","51","2","2","51","18","11","1","18","11","12","243","5","18","6","115","9","9","4048800.0"
"64","51","51","10","10","34","34","10","10","10","48","1","10","48","49","244","5","10","6","108","9","9","60480.0"
"65","23","23","24","24","70","70","23","23","18","17","1","18","17","19","73","211","18","6","187","9","9","43500.0"
"66","30","30","30","30","24","24","57","57","57","113","1","57","113","114","4","116","57","6","4","9","9","855300.0"
"67","51","51","51","51","10","10","10","10","15","48","1","15","48","49","135","5","15","6","56","9","9","4610940.0"
"68","245","245","248","248","40","40","94","94","40","121","1","40","121","3","108","21","40","6","108","9","9","1800.0"
"7","15","15","10","10","15","15","51","51","10","11","1","10","11","12","16","211","10","13","9","9","9","277920.0"
"70","23","23","23","23","23","23","23","23","23","17","1","23","17","19","47","250","23","13","8","9","9","3112140.0"
"71","70","70","70","70","94","94","24","24","57","58","1","57","58","59","56","21","57","6","86","9","9","20520.0"
"72","30","30","30","30","24","24","54","54","57","53","1","57","53","55","86","21","57","6","8","9","9","179580.0"
"73","10","10","51","51","15","15","34","34","51","11","1","51","11","12","62","203","51","13","8","9","9","889200.0"
"75","42","42","42","42","30","30","30","30","42","31","1","42","31","32","4","29","42","13","9","9","9","1567200.0"
"77","70","70","70","70","23","23","23","23","70","17","1","70","17","19","97","168","70","6","75","9","9","1492020.0"
"78","51","51","51","51","10","10","34","34","51","48","1","51","48","49","251","5","51","6","27","9","9","2493060.0"
"79","40","40","142","142","54","54","57","57","40","121","1","40","121","3","253","211","40","6","253","9","9","210600.0"
"80","34","34","34","34","40","40","57","57","54","113","1","54","113","114","28","5","54","6","9","9","9","176400.0"
"82","51","51","51","51","34","34","34","34","40","0","1","40","0","3","47","5","40","6","66","65","9","1459140.0"
"83","51","51","51","51","15","15","34","34","51","48","1","51","48","49","177","37","51","6","4","9","9","378780.0"
"84","30","30","30","30","30","30","30","30","30","31","1","30","31","32","60","119","30","13","8","9","9","1041900.0"
"85","18","18","18","18","34","104","42","34","104","71","14","104","71","72","92","29","104","6","9","101","9","22740.0"
"86","18","18","83","83","34","34","18","18","83","71","1","83","71","72","240","29","83","6","4","9","9","107760.0"
"87","15","15","10","10","10","24","10","24","42","11","1","42","11","12","254","255","42","6","232","9","9","3101820.0"
"89","10","10","15","15","34","34","34","34","10","48","1","10","48","49","152","256","10","6","62","9","9","278460.0"
"9","70","70","23","23","23","23","24","24","57","113","1","57","113","114","82","21","57","6","9","9","9","1695960.0"
"90","18","18","15","15","34","34","10","10","10","71","1","10","71","72","152","256","10","6","52","9","9","298860.0"
"91","51","51","15","15","15","34","15","34","24","25","1","24","25","3","153","258","24","6","9","9","9","498180.0"
"92","18","18","18","18","18","18","24","24","24","0","1","24","0","3","102","29","24","6","75","9","9","1865460.0"
"93","42","42","42","42","30","30","30","30","30","117","1","30","117","32","86","156","30","6","35","9","9","3754200.0"
"95","34","34","10","10","24","15","24","15","34","11","1","34","11","12","259","154","34","6","101","9","9","2623740.0"
"96","40","40","40","40","54","54","54","83","54","113","14","54","113","114","152","29","54","6","62","9","9","80820.0"
"97","40","40","144","144","54","54","54","54","54","113","14","54","113","114","69","29","54","6","9","9","9","890700.0"
"99","24","24","24","24","24","24","54","54","57","58","1","57","58","59","262","134","57","6","263","9","9","315960.0"
