"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","2","2","262800.0"
"10","28","29","28","29","24","24","24","24","32","32","28","28","24","24","1321500.0"
"100","39","39","43","43","39","39","39","39","29","29","20","20","20","20","843480.0"
"101","39","39","39","39","39","39","39","39","32","32","45","45","45","45","1000200.0"
"102","39","39","39","39","45","45","45","52","52","45","45","45","39","39","1207860.0"
"103","39","39","45","45","39","39","45","45","45","45","29","39","39","29","483720.0"
"106","45","45","39","39","29","29","20","20","2","2","29","29","57","57","43500.0"
"108","32","32","43","52","52","43","43","43","52","52","20","20","60","60","807120.0"
"109","8","14","8","14","29","43","43","43","29","43","8","29","29","8","1696740.0"
"11","24","24","71","52","71","71","52","71","24","24","8","8","71","71","699000.0"
"110","32","32","43","16","16","43","43","43","32","32","14","14","43","71","2285520.0"
"111","8","8","8","8","14","14","86","86","8","8","14","14","81","81","1180260.0"
"112","71","71","28","28","24","24","52","28","52","28","28","28","24","24","1266180.0"
"114","32","32","29","90","90","29","32","32","29","29","29","29","29","29","0.0"
"115","8","8","43","43","8","8","8","8","8","52","52","52","52","8","1681920.0"
"116","60","60","60","60","99","99","57","57","60","16","16","60","60","60","490320.0"
"119","24","24","24","24","24","24","71","71","24","24","24","24","24","24","171060.0"
"12","71","71","24","24","29","29","24","24","71","71","28","28","71","71","1587720.0"
"120","43","43","86","86","32","32","81","81","20","20","20","20","99","99","81900.0"
"121","43","43","43","112","112","43","86","81","81","86","43","45","45","43","1201920.0"
"122","86","86","86","86","86","86","86","16","16","86","81","81","20","20","1780620.0"
"123","86","86","8","8","8","8","14","14","14","14","8","8","8","8","217380.0"
"124","8","8","8","8","86","86","14","14","52","52","20","20","90","90","321240.0"
"126","86","86","14","14","8","52","8","8","52","8","52","52","20","20","206340.0"
"127","32","32","32","32","14","14","43","43","29","29","32","32","43","43","1249440.0"
"129","39","52","52","39","39","39","45","45","52","52","20","20","52","52","939360.0"
"13","28","28","28","28","24","24","57","57","29","29","99","99","29","29","0.0"
"135","43","43","86","90","90","86","43","43","43","43","43","43","86","86","601080.0"
"138","14","14","8","8","8","8","14","14","86","86","16","16","16","16","13380.0"
"140","86","86","14","14","81","81","2","2","20","20","120","120","120","120","230220.0"
"145","39","39","45","45","39","39","39","39","29","29","20","20","20","20","840300.0"
"147","39","39","45","45","45","45","39","57","57","39","52","52","127","52","2580.0"
"148","133","133","136","136","52","52","140","140","52","52","52","52","52","52","0.0"
"155","45","45","45","45","45","45","45","29","29","45","29","29","2","2","233280.0"
"156","71","71","71","71","71","71","71","71","71","71","29","29","29","29","754560.0"
"163","146","146","52","52","52","52","52","52","28","28","52","52","146","146","5061840.0"
"17","39","39","39","39","39","39","39","149","39","39","39","149","148","148","2677680.0"
"174","43","43","32","52","32","32","52","32","90","90","45","45","43","43","877020.0"
"177","20","20","151","151","151","151","120","120","16","16","16","16","16","16","6196500.0"
"178","154","154","120","120","99","99","99","2","20","99","2","20","99","120","4978860.0"
"179","99","99","16","16","57","57","60","60","16","16","57","57","16","16","0.0"
"18","8","8","8","8","86","86","8","8","8","8","8","8","86","14","6135240.0"
"182","29","29","60","60","29","29","29","29","57","57","29","29","112","112","749940.0"
"185","24","24","60","60","57","57","57","57","52","52","52","52","52","52","7075560.0"
"187","2","2","151","151","120","120","154","154","151","151","120","120","154","154","3954660.0"
"188","20","2","2","2","20","2","20","20","29","29","136","136","154","154","520140.0"
"19","14","14","16","16","8","8","16","16","20","20","2","2","2","2","240780.0"
"192","133","133","52","52","24","24","52","24","52","24","24","24","71","71","1532820.0"
"194","24","24","24","52","24","52","24","52","52","24","71","71","28","52","2124000.0"
"195","52","52","2","2","20","20","20","2","20","2","2","2","120","120","483300.0"
"198","86","86","43","43","43","43","52","86","86","52","8","8","86","86","6035700.0"
"199","2","2","20","2","2","2","20","20","20","154","2","154","154","154","7487820.0"
"20","14","14","29","14","14","29","32","32","32","32","32","32","86","86","3141240.0"
"200","112","112","99","99","81","81","81","81","57","57","120","120","120","120","0.0"
"201","81","81","81","81","39","39","39","39","39","39","39","39","39","39","3950100.0"
"203","29","29","20","20","2","2","20","20","2","2","57","57","29","29","0.0"
"206","29","29","20","20","20","20","99","99","99","99","29","29","29","29","1011000.0"
"207","86","43","86","43","86","43","86","43","43","43","32","32","43","86","1645200.0"
"208","71","71","28","28","71","71","71","71","24","24","28","28","71","71","3203460.0"
"209","32","32","45","45","45","45","86","86","32","32","43","43","29","29","492780.0"
"21","14","14","43","43","29","8","8","8","8","29","8","32","32","32","3293100.0"
"210","43","43","32","32","32","32","43","43","32","32","29","29","43","43","892800.0"
"211","29","29","120","120","154","154","2","2","20","20","29","29","29","29","128520.0"
"212","32","32","32","32","32","29","32","29","43","43","32","32","29","29","1038480.0"
"214","32","32","32","32","14","43","14","43","29","29","32","32","32","32","1415280.0"
"215","45","45","45","45","154","154","29","29","29","29","20","20","20","20","751320.0"
"218","193","193","197","197","197","197","193","193","52","52","57","57","20","52","3000.0"
"219","20","20","20","20","120","120","151","151","120","120","120","120","154","154","675660.0"
"22","71","71","28","28","28","28","28","28","71","71","81","81","20","20","346260.0"
"223","45","52","45","45","45","45","52","45","43","43","45","45","52","52","1959600.0"
"225","99","99","99","99","99","99","99","99","99","99","2","2","2","2","6021240.0"
"228","45","45","45","45","45","45","29","29","29","29","29","29","2","20","292500.0"
"229","45","52","52","45","43","43","45","45","52","52","20","20","20","2","382560.0"
"23","86","86","14","14","43","43","81","81","86","81","81","86","86","86","3076260.0"
"230","32","32","32","32","32","32","32","29","29","32","43","43","32","29","4435740.0"
"231","20","20","120","120","120","120","151","60","151","60","16","16","16","16","403320.0"
"232","81","86","81","99","86","99","60","60","60","60","60","60","60","60","516900.0"
"233","71","28","71","28","28","28","8","8","52","52","20","20","20","20","836520.0"
"234","52","52","52","52","136","136","206","206","136","136","52","52","52","52","4413180.0"
"235","16","16","16","24","16","24","24","24","24","24","24","24","16","16","2486820.0"
"236","60","60","60","60","29","99","29","99","60","60","60","60","29","29","34260.0"
"237","29","29","14","14","29","29","29","29","20","2","20","2","154","154","4336020.0"
"238","32","32","43","43","43","43","32","32","14","14","14","29","14","29","3858540.0"
"239","32","32","86","43","86","29","29","43","32","32","29","29","29","29","555060.0"
"24","8","8","8","8","81","81","2","2","214","99","99","214","81","81","2804640.0"
"240","32","32","43","43","86","86","32","32","43","43","86","86","2","2","776700.0"
"241","86","86","86","86","14","14","52","32","52","32","32","32","52","52","231600.0"
"242","32","32","32","32","14","14","43","43","32","32","52","52","52","52","604440.0"
"243","32","32","43","52","43","43","52","43","29","29","20","20","20","20","402900.0"
"244","60","60","60","60","60","60","60","60","60","52","60","60","60","60","303720.0"
"245","28","28","28","16","16","28","28","28","28","28","71","71","71","71","2403600.0"
"246","71","71","28","28","71","71","52","52","2","2","20","20","2","2","344700.0"
"248","28","28","28","28","71","71","2","2","81","81","20","20","20","20","669000.0"
"249","45","45","45","45","52","52","45","45","45","45","8","8","52","52","513900.0"
"25","86","86","86","86","86","86","43","43","43","43","86","86","16","16","2854200.0"
"250","224","224","224","224","16","224","16","224","224","224","224","224","20","20","205980.0"
"251","86","86","8","8","8","8","16","16","20","20","16","16","2","2","770880.0"
"252","32","32","32","29","32","29","29","29","32","32","29","29","20","20","232800.0"
"253","71","71","71","71","29","28","29","29","28","29","20","20","20","20","478860.0"
"254","20","20","20","20","20","20","2","2","29","29","57","57","29","29","0.0"
"256","45","45","8","8","32","32","52","52","45","45","39","39","39","39","2989200.0"
"257","32","32","8","8","86","86","90","90","43","43","86","86","43","43","6660780.0"
"258","32","32","32","32","43","43","43","43","43","43","43","43","32","32","1449060.0"
"259","71","71","71","71","24","24","32","32","71","71","24","24","24","24","6065700.0"
"26","14","14","32","32","32","32","8","8","8","8","81","81","99","99","3498780.0"
"260","43","43","43","43","43","43","32","32","43","43","71","71","29","32","4500720.0"
"261","45","45","45","45","29","29","39","39","29","29","2","2","20","20","508320.0"
"262","14","14","43","43","43","43","29","29","29","29","20","20","20","20","182640.0"
"263","39","39","39","39","39","52","39","39","52","39","39","39","39","39","1533240.0"
"264","90","90","90","43","90","43","32","32","29","29","14","14","86","86","151980.0"
"265","45","45","45","45","45","45","45","45","45","45","29","29","20","20","271980.0"
"266","16","16","86","86","8","8","86","16","86","86","16","52","52","86","7285080.0"
"267","14","14","32","32","32","32","14","29","29","14","43","43","43","43","7090200.0"
"268","45","45","45","29","45","29","45","29","29","45","45","45","99","99","1755840.0"
"269","45","45","45","52","45","45","52","45","45","45","52","45","45","52","1629480.0"
"27","45","45","45","45","45","45","45","45","45","45","45","45","45","45","258780.0"
"271","8","8","8","8","8","8","86","81","86","81","8","81","81","8","6545100.0"
"272","28","28","71","71","71","71","28","29","28","29","20","20","29","20","343620.0"
"273","28","28","28","24","24","29","28","29","20","20","20","20","20","20","187200.0"
"274","39","39","39","52","52","39","39","52","99","39","52","99","99","99","127800.0"
"277","224","224","81","81","60","60","60","60","60","60","60","60","60","60","103740.0"
"28","32","32","32","32","14","29","29","14","29","29","14","14","45","45","2917560.0"
"29","24","24","71","71","28","28","71","71","71","71","71","71","81","81","2946780.0"
"3","14","16","14","16","8","8","16","16","20","20","20","20","154","151","205200.0"
"31","8","8","8","8","8","8","43","43","16","16","16","16","20","20","2685960.0"
"32","32","32","86","86","43","43","86","86","14","14","86","81","81","81","2378820.0"
"33","32","32","29","32","29","32","32","32","14","14","43","43","29","29","1905960.0"
"34","24","24","28","28","28","28","8","8","24","52","24","52","20","20","1782360.0"
"35","86","86","32","32","43","86","43","86","16","16","16","16","154","154","2315460.0"
"36","43","43","86","86","8","8","8","8","81","43","81","43","43","43","1453080.0"
"37","45","71","71","45","45","45","32","32","240","240","45","45","45","45","1753380.0"
"38","14","14","86","86","8","8","8","8","8","8","8","8","45","45","4765320.0"
"39","71","71","71","52","52","71","71","52","71","52","71","71","24","24","413040.0"
"4","8","8","43","81","43","43","81","43","86","86","8","8","81","81","10920.0"
"40","28","28","71","71","28","28","28","28","28","28","8","8","29","29","1139400.0"
"41","28","28","28","29","28","28","29","28","71","71","20","20","81","81","1316580.0"
"42","32","32","32","32","29","29","14","14","39","39","32","29","32","14","409020.0"
"43","39","39","45","29","45","29","45","45","39","39","29","29","20","20","123420.0"
"44","24","24","71","71","71","71","24","24","24","24","71","71","8","8","2012880.0"
"45","32","32","43","43","43","43","29","29","45","45","29","29","29","29","0.0"
"46","86","86","43","43","86","32","86","32","32","32","52","52","20","20","123000.0"
"47","39","39","39","29","39","39","29","39","39","39","39","39","29","29","1273680.0"
"48","14","14","8","8","8","8","52","52","14","14","52","52","20","20","3104280.0"
"49","45","16","45","16","45","45","112","112","29","29","99","99","29","29","588960.0"
"50","45","45","45","45","45","45","45","45","29","29","20","20","20","20","256620.0"
"52","45","45","39","39","39","39","39","39","39","39","39","39","39","39","543480.0"
"53","45","45","39","39","39","39","39","39","39","39","39","39","45","52","842400.0"
"54","86","86","14","14","8","8","8","52","52","8","14","14","52","52","180900.0"
"55","24","24","71","71","71","71","52","28","52","28","24","24","71","71","3088080.0"
"56","39","39","45","57","57","45","45","45","29","29","20","20","20","29","2940.0"
"58","60","60","60","60","99","99","60","60","29","20","29","20","57","57","0.0"
"59","32","32","86","86","43","43","29","29","90","90","251","251","57","57","131580.0"
"6","45","45","45","45","39","39","39","39","45","45","45","45","29","29","1621500.0"
"60","39","39","20","20","45","45","52","39","52","39","45","45","52","52","111720.0"
"61","28","28","28","28","28","28","8","8","28","52","28","52","71","71","3398460.0"
"62","39","39","39","39","39","39","39","39","39","39","39","39","29","29","2229360.0"
"63","43","43","43","43","86","16","16","86","32","8","32","32","32","14","3979980.0"
"64","86","86","8","8","43","43","8","8","8","8","86","86","43","43","36120.0"
"66","39","39","39","39","29","29","20","20","20","20","206","206","29","29","235980.0"
"67","86","86","86","86","8","8","8","8","14","14","8","8","71","71","4440420.0"
"7","14","14","8","8","14","14","86","86","8","8","8","8","29","29","229200.0"
"70","28","28","28","28","28","28","28","28","28","28","28","28","71","71","3027960.0"
"71","71","71","71","71","57","57","29","29","20","20","20","20","29","29","0.0"
"72","39","39","39","39","29","29","2","2","20","20","20","2","20","2","162720.0"
"73","8","8","86","86","14","14","43","43","86","86","8","8","8","29","875100.0"
"75","45","45","45","45","39","39","39","39","45","45","45","45","81","81","1373400.0"
"77","71","71","71","71","28","28","28","28","71","71","24","16","16","24","1435980.0"
"78","86","86","86","86","8","8","43","43","86","86","86","86","32","32","2450880.0"
"80","43","43","43","43","52","52","20","20","2","2","20","20","151","151","100260.0"
"82","86","86","86","86","43","43","43","43","52","52","20","20","2","2","304560.0"
"83","86","86","86","86","14","14","43","43","86","52","52","86","8","8","346320.0"
"84","39","39","39","39","39","39","39","39","39","39","29","29","45","45","844080.0"
"86","32","32","90","90","43","43","32","32","90","90","90","90","52","52","72420.0"
"87","14","14","8","8","8","29","8","29","45","86","45","8","86","32","3073860.0"
"89","8","8","14","14","43","43","43","43","8","8","8","8","8","32","137340.0"
"9","71","71","28","28","28","28","29","29","20","20","20","20","99","99","406260.0"
"90","32","32","14","14","43","43","8","8","8","32","32","90","90","8","226860.0"
"91","86","86","14","14","14","43","14","43","29","29","32","32","8","8","465540.0"
"92","32","32","32","32","32","32","29","29","29","29","29","29","60","60","540000.0"
"93","45","45","45","45","39","39","39","39","39","39","16","16","267","267","3708300.0"
"95","43","43","8","8","29","14","29","14","43","43","8","8","29","90","2569980.0"
"96","52","52","52","52","2","2","2","90","2","20","90","20","140","57","31200.0"
"97","52","52","154","154","2","2","2","2","2","2","20","20","20","20","844200.0"
"99","29","29","29","29","29","29","2","2","20","20","20","20","29","29","111660.0"
