"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","remainingTime"
"1","9","9","9","9","2","2","2","1532340.0"
"10","19","20","19","20","14","14","14","1400340.0"
"100","24","24","29","29","24","24","24","2491140.0"
"101","24","24","24","24","24","24","24","1041000.0"
"102","24","24","24","24","35","35","35","1248000.0"
"103","24","24","35","35","24","24","35","534960.0"
"104","29","29","29","29","40","45","40","81720.0"
"106","35","35","24","24","20","20","48","271620.0"
"108","53","53","29","54","54","29","29","951240.0"
"109","9","2","9","2","20","29","29","1727520.0"
"11","14","14","62","54","62","62","54","793020.0"
"110","53","53","29","67","67","29","29","2497860.0"
"111","9","9","9","9","2","2","40","1262520.0"
"112","62","62","19","19","14","14","54","1305240.0"
"113","9","9","29","29","45","45","48","1440.0"
"114","53","53","20","77","77","20","53","560880.0"
"115","9","9","29","29","9","9","9","1700700.0"
"116","85","85","85","85","89","89","81","547140.0"
"118","40","40","53","53","53","53","54","4980.0"
"119","14","14","14","14","14","14","62","576120.0"
"12","62","62","14","14","20","20","14","1861200.0"
"120","29","29","40","40","53","53","45","606960.0"
"121","29","29","29","98","98","29","40","1922760.0"
"122","40","40","40","40","40","40","40","1946700.0"
"123","40","40","9","9","9","9","2","289320.0"
"124","9","9","9","9","40","40","2","457560.0"
"125","53","53","2","2","20","2","2","5460.0"
"126","40","40","2","2","9","54","9","493380.0"
"127","53","53","53","53","2","2","29","1336140.0"
"129","24","54","54","24","24","24","35","1083120.0"
"13","19","19","19","19","14","14","81","42120.0"
"133","40","40","9","9","9","9","2","33480.0"
"134","9","9","9","9","2","2","9","21720.0"
"135","29","29","40","77","77","40","29","659640.0"
"137","40","40","9","9","2","2","67","3300.0"
"138","2","2","9","9","9","9","2","110220.0"
"140","40","40","2","2","45","45","112","847560.0"
"145","24","24","35","35","24","24","24","1808940.0"
"147","24","24","35","35","35","35","24","67080.0"
"148","121","121","124","124","54","54","119","53580.0"
"150","20","20","20","20","20","20","20","60.0"
"153","85","85","85","85","54","54","54","60900.0"
"154","45","45","136","136","45","45","81","3600.0"
"155","35","35","35","35","35","35","35","402720.0"
"156","62","62","62","62","62","62","62","1198980.0"
"163","143","143","54","54","54","54","54","6238380.0"
"17","24","24","24","24","24","24","24","2737560.0"
"174","29","29","53","54","53","53","54","942000.0"
"177","48","48","150","150","150","150","145","7031760.0"
"178","153","153","145","145","89","89","89","5072820.0"
"179","89","89","67","67","81","81","85","248100.0"
"18","9","9","9","9","40","40","9","6178560.0"
"182","20","20","85","85","20","20","20","1816560.0"
"185","14","14","85","85","81","81","81","7371600.0"
"187","112","112","150","150","145","145","153","4079400.0"
"188","48","112","112","112","48","112","48","3106980.0"
"189","67","67","67","67","67","67","67","151200.0"
"19","2","2","67","67","9","9","67","1972920.0"
"190","81","81","45","45","45","45","45","126600.0"
"192","121","121","54","54","14","14","54","1580340.0"
"194","14","14","14","54","14","54","14","2224500.0"
"195","54","54","112","112","48","48","48","868920.0"
"196","67","67","85","85","45","45","81","3600.0"
"198","40","40","29","29","29","29","54","6071940.0"
"199","112","112","48","112","112","112","48","7500000.0"
"20","2","2","20","2","2","20","53","3210360.0"
"200","98","98","89","89","45","45","45","1529700.0"
"201","45","45","45","45","24","24","24","4028580.0"
"203","20","20","48","48","112","112","48","156660.0"
"205","89","89","89","89","20","20","81","3600.0"
"206","20","20","48","48","48","48","89","1274520.0"
"207","40","29","40","29","40","29","40","1727100.0"
"208","62","62","19","19","62","62","62","3305340.0"
"209","53","53","35","35","35","35","40","712800.0"
"21","2","2","29","29","20","9","9","3432960.0"
"210","29","29","53","53","53","53","29","1011600.0"
"211","20","20","145","145","153","153","112","522000.0"
"212","53","53","53","53","53","20","53","1132500.0"
"214","53","53","53","53","2","29","2","1484640.0"
"215","35","35","35","35","153","153","20","949500.0"
"218","189","189","193","193","193","193","189","453000.0"
"219","48","48","48","48","145","145","150","726420.0"
"22","62","62","19","19","19","19","19","490200.0"
"223","35","54","35","35","35","35","54","2105340.0"
"225","89","89","89","89","89","89","89","6931740.0"
"228","35","35","35","35","35","35","20","469860.0"
"229","35","54","54","35","29","29","35","580920.0"
"23","40","40","2","2","29","29","45","3112800.0"
"230","53","53","53","53","53","53","53","4503540.0"
"231","48","48","145","145","145","145","150","661920.0"
"232","45","40","45","89","40","89","85","762000.0"
"233","62","19","62","19","19","19","9","976140.0"
"234","54","54","54","54","124","124","201","4813560.0"
"235","67","67","67","14","67","14","14","2997720.0"
"236","85","85","85","85","20","89","20","234960.0"
"237","20","20","2","2","20","20","20","5464260.0"
"238","53","53","29","29","29","29","53","3906000.0"
"239","53","53","40","29","40","20","20","1258260.0"
"24","9","9","9","9","45","45","112","3511680.0"
"240","53","53","29","29","40","40","53","1141440.0"
"241","40","40","40","40","2","2","54","324000.0"
"242","53","53","53","53","2","2","29","738840.0"
"243","53","53","29","54","29","29","54","1108140.0"
"244","85","85","85","85","85","85","85","400140.0"
"245","19","19","19","67","67","19","19","2648280.0"
"246","62","62","19","19","62","62","54","410400.0"
"248","19","19","19","19","62","62","112","721440.0"
"249","35","35","35","35","54","54","35","776220.0"
"25","40","40","40","40","40","40","29","3072120.0"
"250","217","217","217","217","67","217","67","562200.0"
"251","40","40","9","9","9","9","67","3825300.0"
"252","53","53","53","20","53","20","20","411000.0"
"253","62","62","62","62","20","19","20","579420.0"
"254","48","48","48","48","48","48","112","172620.0"
"255","35","35","20","20","48","48","20","398280.0"
"256","35","35","9","9","53","53","54","3018600.0"
"257","53","53","9","9","40","40","77","6791460.0"
"258","53","53","53","53","29","29","29","1532700.0"
"259","62","62","62","62","14","14","53","6138600.0"
"26","2","2","53","53","53","53","9","3559620.0"
"260","29","29","29","29","29","29","53","4727280.0"
"261","35","35","35","35","20","20","24","604500.0"
"262","2","2","29","29","29","29","20","198300.0"
"263","24","24","24","24","24","54","24","1611720.0"
"264","77","77","77","29","77","29","53","231720.0"
"265","35","35","35","35","35","35","35","869640.0"
"266","67","67","40","40","9","9","40","7322940.0"
"267","2","2","53","53","53","53","2","7233960.0"
"268","35","35","35","20","35","20","35","1813980.0"
"269","35","35","35","54","35","35","54","1708500.0"
"27","35","35","35","35","35","35","35","513960.0"
"271","9","9","9","9","9","9","40","6630900.0"
"272","19","19","62","62","62","62","19","1394100.0"
"273","19","19","19","14","14","20","19","1853580.0"
"274","24","24","24","54","54","24","24","139620.0"
"277","217","217","45","45","85","85","85","332940.0"
"28","53","53","53","53","2","20","20","3513240.0"
"29","14","14","62","62","19","19","62","3541740.0"
"3","2","67","2","67","9","9","67","1533600.0"
"30","29","67","67","29","77","77","40","81240.0"
"31","9","9","9","9","9","9","29","3177360.0"
"32","53","53","40","40","29","29","40","2482560.0"
"33","53","53","20","53","20","53","53","1969020.0"
"34","14","14","19","19","19","19","9","1991640.0"
"35","40","40","53","53","29","40","29","2398800.0"
"36","29","29","40","40","9","9","9","1505700.0"
"37","35","62","62","35","35","35","53","1918560.0"
"38","2","2","40","40","9","9","9","4804380.0"
"39","62","62","62","54","54","62","62","450300.0"
"4","9","9","29","45","29","29","45","75360.0"
"40","19","19","62","62","19","19","19","1192380.0"
"41","19","19","19","20","19","19","20","1641480.0"
"42","53","53","53","53","20","20","2","492180.0"
"43","24","24","35","20","35","20","35","383940.0"
"44","14","14","62","62","62","62","14","2137980.0"
"45","53","53","29","29","29","29","20","608340.0"
"46","40","40","29","29","40","53","40","190440.0"
"47","24","24","24","20","24","24","20","1419000.0"
"48","2","2","9","9","9","9","54","3134520.0"
"49","35","67","35","67","35","35","98","1067580.0"
"50","35","35","35","35","35","35","35","1237620.0"
"52","35","35","24","24","24","24","24","632940.0"
"53","35","35","24","24","24","24","24","886020.0"
"54","40","40","2","2","9","9","9","258780.0"
"55","14","14","62","62","62","62","54","3262560.0"
"56","24","24","35","81","81","35","35","36660.0"
"58","85","85","85","85","89","89","85","697560.0"
"59","53","53","40","40","29","29","20","187980.0"
"6","35","35","35","35","24","24","24","1674900.0"
"60","24","24","48","48","35","35","54","237600.0"
"61","19","19","19","19","19","19","9","3605760.0"
"62","24","24","24","24","24","24","24","2412180.0"
"63","29","29","29","29","40","67","67","4138800.0"
"64","40","40","9","9","29","29","9","164820.0"
"65","19","19","20","20","62","62","19","69420.0"
"66","24","24","24","24","20","20","48","1724520.0"
"67","40","40","40","40","9","9","9","4611900.0"
"68","243","243","246","246","54","54","81","52200.0"
"7","2","2","9","9","2","2","40","286980.0"
"70","19","19","19","19","19","19","19","3175740.0"
"71","62","62","62","62","81","81","20","22980.0"
"72","24","24","24","24","20","20","112","218340.0"
"73","9","9","40","40","2","2","29","914700.0"
"75","35","35","35","35","24","24","24","1603200.0"
"77","62","62","62","62","19","19","19","1700280.0"
"78","40","40","40","40","9","9","29","2526600.0"
"79","54","54","145","145","112","112","48","308580.0"
"80","29","29","29","29","54","54","48","2020200.0"
"82","40","40","40","40","29","29","29","1581240.0"
"83","40","40","40","40","2","2","29","403020.0"
"84","24","24","24","24","24","24","24","1042860.0"
"85","53","53","53","53","29","98","35","27000.0"
"86","53","53","77","77","29","29","53","146280.0"
"87","2","2","9","9","9","20","9","3134520.0"
"89","9","9","2","2","29","29","29","301020.0"
"9","62","62","19","19","19","19","20","1705020.0"
"90","53","53","2","2","29","29","9","410400.0"
"91","40","40","2","2","2","29","2","524040.0"
"92","53","53","53","53","53","53","20","1876380.0"
"93","35","35","35","35","24","24","24","3758520.0"
"95","29","29","9","9","20","2","20","2652180.0"
"96","54","54","54","54","112","112","112","84960.0"
"97","54","54","153","153","112","112","112","895200.0"
"98","54","54","77","77","112","112","77","1800.0"
"99","20","20","20","20","20","20","112","349200.0"
