"id","Event_1","Event_2","Event_3","Event_4","Event_5","remainingTime"
"1","8","8","8","8","2","1533660.0"
"10","17","18","17","18","13","1402560.0"
"100","22","22","27","27","22","2506680.0"
"101","22","22","22","22","22","1043760.0"
"102","22","22","22","22","33","1260000.0"
"103","22","22","33","33","22","572160.0"
"104","27","27","27","27","38","96540.0"
"106","33","33","22","22","18","281100.0"
"108","48","48","27","45","45","953220.0"
"109","8","2","8","2","18","1731600.0"
"11","13","13","54","45","54","793320.0"
"110","48","48","27","57","57","2503680.0"
"111","8","8","8","8","2","1295160.0"
"112","54","54","17","17","13","1339560.0"
"113","8","8","27","27","67","16560.0"
"114","48","48","18","70","70","604980.0"
"115","8","8","27","27","8","1706460.0"
"116","79","79","79","79","75","573600.0"
"117","83","83","83","83","67","4500.0"
"118","38","38","48","48","48","134940.0"
"119","13","13","13","13","13","640800.0"
"12","54","54","13","13","18","1864140.0"
"120","27","27","38","38","48","1499580.0"
"121","27","27","27","92","92","1943280.0"
"122","38","38","38","38","38","1966020.0"
"123","38","38","8","8","8","309180.0"
"124","8","8","8","8","38","464460.0"
"125","48","48","2","2","18","14640.0"
"126","38","38","2","2","8","496980.0"
"127","48","48","48","48","2","1343160.0"
"129","22","45","45","22","22","1103340.0"
"13","17","17","17","17","13","69540.0"
"133","38","38","8","8","8","40740.0"
"134","8","8","8","8","2","86400.0"
"135","27","27","38","70","70","696480.0"
"136","48","48","48","48","18","2700.0"
"137","38","38","8","8","2","187200.0"
"138","2","2","8","8","8","136680.0"
"140","38","38","2","2","67","856860.0"
"145","22","22","33","33","22","1819080.0"
"147","22","22","33","33","33","97380.0"
"148","111","111","114","114","45","53580.0"
"150","18","18","18","18","18","30720.0"
"153","79","79","79","79","45","114600.0"
"154","67","67","126","126","67","237600.0"
"155","33","33","33","33","33","562920.0"
"156","54","54","54","54","54","1222020.0"
"163","132","132","45","45","45","6325380.0"
"17","22","22","22","22","22","2740620.0"
"174","27","27","48","45","48","943500.0"
"177","137","137","134","134","134","7034760.0"
"178","142","142","144","144","75","5365440.0"
"179","75","75","57","57","83","3397200.0"
"18","8","8","8","8","38","6225060.0"
"182","18","18","79","79","18","1820940.0"
"185","13","13","79","79","83","7375200.0"
"187","152","152","134","134","144","4087860.0"
"188","137","152","152","152","137","3114180.0"
"189","57","57","57","57","57","212400.0"
"19","2","2","57","57","8","2041320.0"
"190","83","83","67","67","67","1381860.0"
"192","111","111","45","45","13","1656600.0"
"194","13","13","13","45","13","2277120.0"
"195","45","45","152","152","137","879840.0"
"196","57","57","79","79","67","121500.0"
"198","38","38","27","27","27","6093540.0"
"199","152","152","137","152","152","7509900.0"
"20","2","2","18","2","2","3230640.0"
"200","92","92","75","75","67","1531800.0"
"201","67","67","67","67","22","4028700.0"
"203","18","18","137","137","152","198180.0"
"205","75","75","75","75","18","37800.0"
"206","18","18","137","137","137","2127840.0"
"207","38","27","38","27","38","1731600.0"
"208","54","54","17","17","54","3319680.0"
"209","48","48","33","33","33","739140.0"
"21","2","2","27","27","18","3434400.0"
"210","27","27","48","48","48","1050840.0"
"211","18","18","144","144","142","536040.0"
"212","48","48","48","48","48","1143300.0"
"214","48","48","48","48","2","1501260.0"
"215","33","33","33","33","142","995820.0"
"218","185","185","181","181","181","486540.0"
"219","137","137","137","137","144","802140.0"
"22","54","54","17","17","17","494100.0"
"223","33","45","33","33","33","2105460.0"
"224","57","57","57","57","57","1800.0"
"225","75","75","75","75","75","7024980.0"
"228","33","33","33","33","33","480600.0"
"229","33","45","45","33","27","609840.0"
"23","38","38","2","2","27","3149820.0"
"230","48","48","48","48","48","4514160.0"
"231","137","137","144","144","144","668580.0"
"232","67","38","67","75","38","1309800.0"
"233","54","17","54","17","17","989280.0"
"234","45","45","45","45","114","4835160.0"
"235","57","57","57","13","57","3178200.0"
"236","79","79","79","79","18","238200.0"
"237","18","18","2","2","18","5493000.0"
"238","48","48","27","27","27","3927600.0"
"239","48","48","38","27","38","1261560.0"
"24","8","8","8","8","67","3601440.0"
"240","48","48","27","27","38","1152960.0"
"241","38","38","38","38","2","363420.0"
"242","48","48","48","48","2","752400.0"
"243","48","48","27","45","27","1114620.0"
"244","79","79","79","79","79","406080.0"
"245","17","17","17","57","57","2703360.0"
"246","54","54","17","17","54","470760.0"
"248","17","17","17","17","54","821340.0"
"249","33","33","33","33","45","779520.0"
"25","38","38","38","38","38","3100080.0"
"250","208","208","208","208","57","583200.0"
"251","38","38","8","8","8","3895620.0"
"252","48","48","48","18","48","487500.0"
"253","54","54","54","54","18","582960.0"
"254","137","137","137","137","137","235260.0"
"255","33","33","18","18","137","488280.0"
"256","33","33","8","8","48","3048960.0"
"257","48","48","8","8","38","6799860.0"
"258","48","48","48","48","27","1604040.0"
"259","54","54","54","54","13","6164880.0"
"26","2","2","48","48","48","3637380.0"
"260","27","27","27","27","27","4744980.0"
"261","33","33","33","33","18","609660.0"
"262","2","2","27","27","27","220140.0"
"263","22","22","22","22","22","1620060.0"
"264","70","70","70","27","70","247320.0"
"265","33","33","33","33","33","881820.0"
"266","57","57","38","38","8","7363260.0"
"267","2","2","48","48","48","7256700.0"
"268","33","33","33","18","33","1862340.0"
"269","33","33","33","45","33","1717140.0"
"27","33","33","33","33","33","517860.0"
"271","8","8","8","8","8","6660000.0"
"272","17","17","54","54","54","1421820.0"
"273","17","17","17","13","13","1907520.0"
"274","22","22","22","45","45","145200.0"
"277","208","208","67","67","79","336540.0"
"28","48","48","48","48","2","3519420.0"
"29","13","13","54","54","17","3550020.0"
"3","2","57","2","57","8","1572660.0"
"30","27","57","57","27","70","94980.0"
"31","8","8","8","8","8","3198300.0"
"32","48","48","38","38","27","2523720.0"
"33","48","48","18","48","18","1974180.0"
"34","13","13","17","17","17","2005560.0"
"35","38","38","48","48","27","2431740.0"
"36","27","27","38","38","8","1510200.0"
"37","33","54","54","33","33","1937580.0"
"38","2","2","38","38","8","4809900.0"
"39","54","54","54","45","45","453240.0"
"4","8","8","27","67","27","75660.0"
"40","17","17","54","54","17","1194000.0"
"41","17","17","17","18","17","1648680.0"
"42","48","48","48","48","18","495960.0"
"43","22","22","33","18","33","386040.0"
"44","13","13","54","54","54","2151900.0"
"45","48","48","27","27","27","636420.0"
"46","38","38","27","27","38","201540.0"
"47","22","22","22","18","22","1419480.0"
"48","2","2","8","8","8","3159960.0"
"49","33","57","33","57","33","1209660.0"
"50","33","33","33","33","33","1258560.0"
"52","33","33","22","22","22","638460.0"
"53","33","33","22","22","22","890820.0"
"54","38","38","2","2","8","266280.0"
"55","13","13","54","54","54","3297180.0"
"56","22","22","33","83","83","40740.0"
"58","79","79","79","79","75","896280.0"
"59","48","48","38","38","27","407520.0"
"6","33","33","33","33","22","1686900.0"
"60","22","22","137","137","33","400020.0"
"61","17","17","17","17","17","3622980.0"
"62","22","22","22","22","22","2434860.0"
"63","27","27","27","27","38","4144020.0"
"64","38","38","8","8","27","255600.0"
"65","17","17","18","18","54","90120.0"
"66","22","22","22","22","18","1791240.0"
"67","38","38","38","38","8","4637940.0"
"68","235","235","238","238","45","112860.0"
"69","33","33","83","83","18","4500.0"
"7","2","2","8","8","2","320820.0"
"70","17","17","17","17","17","3195360.0"
"71","54","54","54","54","83","57960.0"
"72","22","22","22","22","18","620100.0"
"73","8","8","38","38","2","927720.0"
"74","83","83","45","45","45","4500.0"
"75","33","33","33","33","22","1620420.0"
"76","79","79","83","83","67","3660.0"
"77","54","54","54","54","17","1787640.0"
"78","38","38","38","38","8","2551020.0"
"79","45","45","144","144","152","349200.0"
"80","27","27","27","27","45","2029200.0"
"81","18","18","18","18","18","33600.0"
"82","38","38","38","38","27","1584060.0"
"83","38","38","38","38","2","408960.0"
"84","22","22","22","22","22","1044600.0"
"85","48","48","48","48","27","40320.0"
"86","48","48","70","70","27","160020.0"
"87","2","2","8","8","8","3155220.0"
"89","8","8","2","2","27","317280.0"
"9","54","54","17","17","17","1841100.0"
"90","48","48","2","2","27","435000.0"
"91","38","38","2","2","2","530340.0"
"92","48","48","48","48","48","1905540.0"
"93","33","33","33","33","22","3767700.0"
"95","27","27","8","8","18","2657160.0"
"96","45","45","45","45","152","117600.0"
"97","45","45","142","142","152","923880.0"
"98","45","45","70","70","152","7500.0"
"99","18","18","18","18","18","391680.0"
